,time_period,roadmap_group,prediction,Horizon
105,2019-04-01,C Series-19.5,4309.970161618419,1
106,2019-05-01,C Series-19.5,2990.642274949122,1
107,2019-06-01,C Series-19.5,2092.3979422022985,1
108,2019-07-01,C Series-19.5,2100.223574966588,1
109,2019-08-01,C Series-19.5,2909.395291508518,1
110,2019-09-01,C Series-19.5,2661.2035882042146,1
111,2019-10-01,C Series-19.5,2849.831952137002,1
112,2019-11-01,C Series-19.5,2871.1594416161583,1
113,2019-12-01,C Series-19.5,2382.7951063118753,1
114,2020-01-01,C Series-19.5,1496.472614324779,1
115,2020-02-01,C Series-19.5,1293.7320795278779,1
116,2020-03-01,C Series-19.5,934.3996942448938,1
117,2020-04-01,C Series-19.5,1104.665014830097,1
118,2020-05-01,C Series-19.5,387.2885720382518,1
119,2020-06-01,C Series-19.5,1297.8573664744943,1
120,2020-07-01,C Series-19.5,776.7978940011349,1
121,2020-08-01,C Series-19.5,582.6292882805125,1
122,2020-09-01,C Series-19.5,760.917939618804,1
123,2020-10-01,C Series-19.5,773.237477392482,1
124,2020-11-01,C Series-19.5,1105.0136429114502,1
125,2020-12-01,C Series-19.5,622.7651645382014,1
126,2021-01-01,C Series-19.5,2175.955318548396,1
127,2021-02-01,C Series-19.5,1063.8121880120411,1
128,2021-03-01,C Series-19.5,584.0864974861119,1
129,2021-04-01,C Series-19.5,293.3189204231712,1
130,2021-05-01,C Series-19.5,145.29943074148787,1
131,2021-06-01,C Series-19.5,71.9779855182646,1
132,2021-07-01,C Series-19.5,30.15180159620126,1
133,2021-08-01,C Series-19.5,13.95818083366401,1
134,2021-09-01,C Series-19.5,6.336443230847954,1
135,2021-10-01,C Series-19.5,2.8040182728736225,1
136,2018-03-01,C Series-21.5,,1
137,2018-04-01,C Series-21.5,,1
138,2018-05-01,C Series-21.5,,1
139,2018-06-01,C Series-21.5,,1
140,2018-07-01,C Series-21.5,,1
141,2018-08-01,C Series-21.5,,1
142,2018-09-01,C Series-21.5,,1
143,2018-10-01,C Series-21.5,,1
144,2018-11-01,C Series-21.5,,1
145,2018-12-01,C Series-21.5,,1
146,2019-01-01,C Series-21.5,,1
147,2019-02-01,C Series-21.5,,1
148,2019-03-01,C Series-21.5,874.4539945834692,1
149,2019-04-01,C Series-21.5,2703.2931778574375,1
150,2019-05-01,C Series-21.5,1647.7659650455591,1
151,2019-06-01,C Series-21.5,2080.0133858010518,1
152,2019-07-01,C Series-21.5,2596.526480182158,1
153,2019-08-01,C Series-21.5,2520.7348500605017,1
154,2019-09-01,C Series-21.5,2830.211323351503,1
155,2019-10-01,C Series-21.5,2893.293027656237,1
156,2019-11-01,C Series-21.5,1830.2039476048144,1
157,2019-12-01,C Series-21.5,1896.244752436589,1
158,2020-01-01,C Series-21.5,1477.8906001919813,1
159,2020-02-01,C Series-21.5,1701.5691217708613,1
160,2020-03-01,C Series-21.5,2604.3045031158827,1
161,2020-04-01,C Series-21.5,3034.4371374328985,1
162,2020-05-01,C Series-21.5,3091.754163544426,1
163,2020-06-01,C Series-21.5,2098.6957893244457,1
164,2020-07-01,C Series-21.5,2683.3533316574935,1
165,2020-08-01,C Series-21.5,3192.057110264117,1
166,2020-09-01,C Series-21.5,2959.900400954042,1
167,2020-10-01,C Series-21.5,2205.053705231239,1
168,2020-11-01,C Series-21.5,1728.178751123615,1
169,2020-12-01,C Series-21.5,2383.6608223845637,1
170,2021-01-01,C Series-21.5,3104.131534545493,1
171,2021-02-01,C Series-21.5,2961.883533440846,1
172,2021-03-01,C Series-21.5,3899.9880759333423,1
173,2021-04-01,C Series-21.5,3002.981587286765,1
174,2021-05-01,C Series-21.5,2980.966813494586,1
175,2021-06-01,C Series-21.5,3585.361810623611,1
176,2021-07-01,C Series-21.5,2209.806884348638,1
177,2021-08-01,C Series-21.5,2645.2409143219875,1
178,2021-09-01,C Series-21.5,1339.7871889853004,1
179,2021-10-01,C Series-21.5,-83.84116640203172,1
180,2018-01-01,C Series-21.5-AMD,,1
181,2018-02-01,C Series-21.5-AMD,,1
182,2018-03-01,C Series-21.5-AMD,,1
183,2018-04-01,C Series-21.5-AMD,,1
184,2018-05-01,C Series-21.5-AMD,,1
185,2018-06-01,C Series-21.5-AMD,,1
186,2018-07-01,C Series-21.5-AMD,,1
187,2018-08-01,C Series-21.5-AMD,,1
188,2018-09-01,C Series-21.5-AMD,,1
189,2018-10-01,C Series-21.5-AMD,,1
190,2018-11-01,C Series-21.5-AMD,,1
191,2018-12-01,C Series-21.5-AMD,,1
192,2019-01-01,C Series-21.5-AMD,765.7313084788993,1
193,2019-02-01,C Series-21.5-AMD,910.4683894423317,1
194,2019-03-01,C Series-21.5-AMD,1113.4926424054754,1
195,2019-04-01,C Series-21.5-AMD,1001.4915746168238,1
196,2019-05-01,C Series-21.5-AMD,1553.0753138701075,1
197,2019-06-01,C Series-21.5-AMD,1169.9297749548307,1
198,2019-07-01,C Series-21.5-AMD,1269.496771130944,1
199,2019-08-01,C Series-21.5-AMD,1251.854925981324,1
200,2019-09-01,C Series-21.5-AMD,1265.3303346228486,1
201,2019-10-01,C Series-21.5-AMD,792.9934666581677,1
202,2019-11-01,C Series-21.5-AMD,699.7013696739696,1
203,2019-12-01,C Series-21.5-AMD,504.2043098738568,1
204,2020-01-01,C Series-21.5-AMD,772.5429951825372,1
205,2020-02-01,C Series-21.5-AMD,674.1728743331385,1
206,2020-03-01,C Series-21.5-AMD,494.77798192077034,1
207,2020-04-01,C Series-21.5-AMD,919.8459826167837,1
208,2020-05-01,C Series-21.5-AMD,749.6785552968281,1
209,2020-06-01,C Series-21.5-AMD,671.0677832539153,1
210,2020-07-01,C Series-21.5-AMD,582.4953448596683,1
211,2020-08-01,C Series-21.5-AMD,661.7143699812023,1
212,2020-09-01,C Series-21.5-AMD,570.7406262732417,1
213,2020-10-01,C Series-21.5-AMD,757.2754810951882,1
214,2020-11-01,C Series-21.5-AMD,731.6060833177755,1
215,2020-12-01,C Series-21.5-AMD,1191.3499487419829,1
216,2021-01-01,C Series-21.5-AMD,1402.0285752546197,1
217,2021-02-01,C Series-21.5-AMD,1174.6977869865566,1
218,2021-03-01,C Series-21.5-AMD,1107.417078729491,1
219,2021-04-01,C Series-21.5-AMD,1135.5051755914933,1
220,2021-05-01,C Series-21.5-AMD,963.3563477110273,1
221,2021-06-01,C Series-21.5-AMD,656.1092208532548,1
222,2021-07-01,C Series-21.5-AMD,554.2976070318397,1
223,2021-08-01,C Series-21.5-AMD,89.83804861989107,1
224,2021-09-01,C Series-21.5-AMD,-85.28827092588436,1
225,2021-10-01,C Series-21.5-AMD,-175.166411691228,1
226,2017-03-01,C Series-21.5-Mainstream,,1
227,2017-04-01,C Series-21.5-Mainstream,,1
228,2017-05-01,C Series-21.5-Mainstream,,1
229,2017-06-01,C Series-21.5-Mainstream,,1
230,2017-07-01,C Series-21.5-Mainstream,,1
231,2017-08-01,C Series-21.5-Mainstream,,1
232,2017-09-01,C Series-21.5-Mainstream,,1
233,2017-10-01,C Series-21.5-Mainstream,,1
234,2017-11-01,C Series-21.5-Mainstream,,1
235,2017-12-01,C Series-21.5-Mainstream,,1
236,2018-01-01,C Series-21.5-Mainstream,,1
237,2018-02-01,C Series-21.5-Mainstream,,1
238,2018-03-01,C Series-21.5-Mainstream,5702.531378751805,1
239,2018-04-01,C Series-21.5-Mainstream,6332.175733009327,1
